Rank,Nome,Avaliacao
453,The Manhattan Project,7.33
454,Flash Point: Fire Rescue,7.16
531,1846: The Race for the Midwest,7.93
532,Railroad Ink: Deep Blue Edition,7.19
610,Sea Salt & Paper,7.44
611,Paperback,7.13
380,San Juan,7.23
381,Mage Wars Arena,7.59
455,Millennium Blades,7.67
456,Boonlake,7.68
533,Woodcraft,7.70
534,Argent: The Consortium,7.64
612,AquaSphere,7.26
613,Draftosaurus,7.11
382,Blood Bowl: Team Manager – The Card Game,7.39
383,Newton,7.56
457,Kingsburg,7.18
458,Imperial Settlers: Empires of the North,7.45
535,CATAN,7.10
614,The Colonists,7.55
615,The Lord of the Rings: The Card Game – Revised Core Set,8.48
384,Age of Innovation,8.85
385,Carpe Diem,7.52
459,Dead Reckoning,8.22
460,Honey Buzz,7.60
536,Freedom: The Underground Railroad,7.58
537,Blackout: Hong Kong,7.44
616,Tobago,7.10
386,Abyss,7.33
387,Notre Dame,7.32
461,Pandemic: Reign of Cthulhu,7.37
462,Glen More,7.30
538,Thurn and Taxis,7.09
539,Port Royal,7.12
617,Star Trek: Ascendancy,7.82
618,Dice Throne: Season One,7.52
388,Turing Machine,7.78
389,The Pillars of the Earth,7.27
463,Pipeline,7.62
540,MicroMacro: Crime City – Full House,7.71
541,High Society,7.15
619,Triumph & Tragedy: European Balance of Power 1936-1945,8.15
620,Expeditions,7.76
390,Gùgōng,7.45
391,Project L,7.49
464,Heroscape Master Set: Rise of the Valkyrie,7.45
465,Lord of the Rings: The Confrontation,7.48
542,Caper: Europe,7.75
543,Small World Underground,7.24
621,Unlock!: Heroic Adventures,7.64
622,Cooper Island,7.60
701,The Oracle of Delphi,7.30
392,At the Gates of Loyang,7.36
393,Twice as Clever!,7.45
466,Lancaster,7.40
467,Black Orchestra,7.51
544,Star Wars: X-Wing (Second Edition),8.06
545,Escape Plan,7.52
623,Aeon Trespass: Odyssey,9.11
624,Silver & Gold,7.21
702,Trekking Through History,7.70
703,Trails of Tucana,7.40
394,Pandemic: Fall of Rome,7.63
395,Voidfall,8.66
468,Mandala,7.54
469,PitchCar,7.26
546,Imperium: Legends,7.85
547,Ingenious,7.10
625,Automobile,7.33
626,Coup,6.98
704,Disney Villainous: Evil Comes Prepared,7.56
705,Cuba,7.13
396,Summoner Wars (Second Edition),8.17
397,Sidereal Confluence,7.78
470,A Few Acres of Snow,7.37
471,IKI,7.67
548,Alhambra,7.03
549,First Class: All Aboard the Orient Express!,7.42
627,Dinosaur Island: Rawr 'n Write,7.75
628,Struggle of Empires,7.53
706,Civilization: A New Dawn,7.26
398,Cat in the Box: Deluxe Edition,7.63
399,Maria,7.98
472,Quadropolis,7.23
550,TZAAR,7.66
551,The Grizzled,7.14
629,Evolution,7.06
630,Nucleum,8.24
631,Crusaders: Thy Will Be Done,7.48
707,Torres,7.09
708,Feudum,7.61
709,Escape: The Curse of the Temple,6.96
400,The Godfather: Corleone's Empire,7.53
473,Point Salad,7.17
474,Cartographers Heroes,7.79
475,Commands & Colors: Napoleonics,8.03
552,London,7.33
553,Fleet: The Dice Game,7.67
632,Francis Drake,7.38
710,Merv: The Heart of the Silk Road,7.53
711,The Magnificent,7.53
476,The Witcher: Old World,8.08
477,Descent: Legends of the Dark,7.96
554,Archipelago,7.29
555,Time's Up! Title Recall!,7.69
633,Splendor: Marvel,7.59
634,Regicide,7.47
712,Earth Reborn,7.62
478,Mystic Vale,7.26
479,Middara: Unintentional Malum – Act 1,8.63
556,The Fox in the Forest,7.12
557,Love Letter: Premium Edition,7.45
635,The Battle of Five Armies,7.88
636,Star Wars: Destiny,7.45
713,Churchill,7.67
714,Luna,7.30
715,Dixit: Journey,7.40
480,Pan Am,7.55
558,Libertalia,7.12
559,Legends of Andor,7.12
637,Carson City,7.22
638,Hammer of the Scots,7.53
639,Cuba Libre,7.68
716,Treasure Island,7.24
717,Mexica,7.25
481,Amerigo,7.45
482,Stuffed Fables,7.46
560,Libertalia: Winds of Galecrest,7.49
640,Conan,7.64
641,A Game of Thrones,7.18
718,Shadows of Brimstone: Swamps of Death,8.04
719,"Unmatched: Battle of Legends, Volume Two",8.32
483,Fire in the Lake,8.06
484,Hadara,7.41
561,The LOOP,7.76
562,Madeira,7.55
563,Wabash Cannonball,7.25
642,Gears of War: The Board Game,7.47
643,Take 5,6.96
644,Zombicide,7.11
720,AuZtralia,7.36
721,Yamataï,7.19
485,Colt Express,7.09
564,Airlines Europe,7.30
565,Sushi Go!,7.01
645,Whitehall Mystery,7.56
646,Thebes,7.13
722,Sub Terra,7.39
723,D-Day at Omaha Beach,8.29
801,Warhammer: Invasion,7.24
486,"Air, Land, & Sea",7.46
487,Citadels,7.26
566,Euphoria: Build a Better Dystopia,7.19
567,RoboRally,7.06
647,Galaxy Trucker (Second Edition),7.51
648,Quantum,7.24
